Model Type,Model_Type,Init,Loss,Epochs,Best_Val_NLL,LR,Fit_Time (s),Inf_Time (s),Accuracy,NLL,Brier_Score,ECE,Mean_Confidence,Mean_Entropy,1 - Confidence,ExpectedVsActual_Uncertainty_MAE,ExpectedVsActual_Uncertainty_MSE,ExpectedVsActual_Uncertainty_Corr,Max_Binned_Uncertainty_Gap,Classwise_ECE,Mean_Actual_Error
Flipout / scratch / ELBO,Flipout,scratch,ELBO,39,0.24789167940616608,0.005,19.059695720672607,0.0749819278717041,0.921,0.1979481279850006,0.05792105942964554,0.01770322874188425,0.9058293700218201,0.24065355956554413,0.09417066723108292,0.01770322874188425,0.000487556851486262,0.9857103473314859,0.0707219797120967,0.017703231766819972,0.079
Flipout / scratch / AvUC,Flipout,scratch,ELBO+AvUC,38,0.25601527094841003,0.005,80.36039972305298,0.07638740539550781,0.9185,0.19809821248054504,0.05890904366970062,0.01079746657609943,0.9277645349502563,0.18426865339279175,0.07223550230264664,0.010797466576099432,0.00044806099983836994,0.9831751574835353,0.08559521740558096,0.010797469347715413,0.0815
Flipout / moped / ELBO,Flipout,MOPED,ELBO,39,0.24546010792255402,0.005,19.983047008514404,0.07735538482666016,0.915,0.19939231872558594,0.059244126081466675,0.014746685177087784,0.9108962416648865,0.2221687138080597,0.08910374343395233,0.014746685177087784,0.0006557928764980292,0.977290536716161,0.15327353080113726,0.014746691659092905,0.085
Flipout / moped / AvUC,Flipout,MOPED,ELBO+AvUC,40,0.25305667519569397,0.005,90.11592411994934,0.07054352760314941,0.9225,0.198680579662323,0.05818881839513779,0.011390945374965676,0.9278980493545532,0.1833983212709427,0.07210192829370499,0.011390945374965676,0.0003647538651311075,0.9516330481311167,0.1129293618378816,0.011390923589468012,0.0775
BBB / scratch / ELBO,Reparameterization,scratch,ELBO,50,0.2457214593887329,0.005,23.219511032104492,0.05540132522583008,0.921,0.1974302977323532,0.058090005069971085,0.019042906463146183,0.9111225605010986,0.22907546162605286,0.08887738734483719,0.019042906463146186,0.000595469908063603,0.9782970091538747,0.06888461318509331,0.019042928516864753,0.079
BBB / scratch / AvUC,Reparameterization,scratch,ELBO+AvUC,32,0.36398079991340637,0.005,73.32536244392395,0.06848883628845215,0.865,0.3102525472640991,0.09513536095619202,0.025444428950548152,0.8469982743263245,0.36199086904525757,0.15300171077251434,0.025444428950548152,0.0007522447638126934,0.993752937729889,0.045257592902464006,0.02544442568719385,0.135
BBB / moped / ELBO,Reparameterization,MOPED,ELBO,36,0.2448449432849884,0.005,15.879301309585571,0.05330801010131836,0.9205,0.19582678377628326,0.05808024853467941,0.011132466673850984,0.914349377155304,0.2148468941450119,0.08565063774585724,0.011132466673850984,0.0002678253590400531,0.9838102654827262,0.0597279923302787,0.011132506251335116,0.0795
BBB / moped / AvUC,Reparameterization,MOPED,ELBO+AvUC,33,0.25390738248825073,0.005,68.680734872818,0.05550861358642578,0.9245,0.1914287954568863,0.05694844201207161,0.014021232783794385,0.9322764873504639,0.1749756783246994,0.06772347539663315,0.014021232783794385,0.0008031599440225402,0.8936821468520781,0.14771137634913123,0.014021248638629896,0.0755
