Variant,ID NLL,OOD NLL,ID RMSE,OOD RMSE,ID Coverage_95,OOD Coverage_95,ID Epistemic,OOD Epistemic,Epistemic Ratio (OOD/ID)
Flipout / scratch,0.6870807363720323,9.179047845297646,0.45186021257678627,1.6482294898766396,0.94,0.2,0.1888875812292099,0.22529824078083038,1.1927636861801147
Flipout / moped,1.5374487667940446,1.706870103864406,0.5409120526179014,1.251109015788182,1.0,0.9916666666666667,1.774925708770752,1.6028093099594116,0.9030289649963379
BBB / scratch,1.2743674666051747,7.457330651092,0.5880252949211837,1.3056351711554748,0.69,0.375,0.159323051571846,0.1905573308467865,1.1960437297821045
BBB / moped,1.4910262280309416,1.6561440107247478,0.5194184007223859,1.1787733717768005,1.0,1.0,1.6857227087020874,1.5678659677505493,0.9300853610038757
