Variant,ID 1 - Confidence,OOD 1 - Confidence,ID Aleatoric,OOD Aleatoric,ID Epistemic,OOD Epistemic,Δ Epistemic (OOD-ID)
Flipout / scratch / ELBO,0.09433460980653763,0.00518946535885334,0.23799379169940948,0.02795507200062275,0.003006405895575881,0.00047312083188444376,-0.0025332849472761154
Flipout / scratch / AvUC,0.07220754027366638,0.0024824608117341995,0.1762436330318451,0.011708863079547882,0.007568341679871082,0.0009177169413305819,-0.006650624796748161
Flipout / moped / ELBO,0.08928198367357254,0.009655449539422989,0.21295660734176636,0.03407352790236473,0.009466508403420448,0.002780933165922761,-0.006685575470328331
Flipout / moped / AvUC,0.07256689667701721,0.004833619110286236,0.14886072278022766,0.01898151822388172,0.035660840570926666,0.00464877113699913,-0.031012069433927536
BBB / scratch / ELBO,0.08865873515605927,0.002691304311156273,0.22584699094295502,0.017212236300110817,0.002579773310571909,0.00015512383833993226,-0.002424649428576231
BBB / scratch / AvUC,0.15201644599437714,0.03179117664694786,0.3570935130119324,0.12428494542837143,0.0031414285767823458,0.0018201181665062904,-0.0013213104102760553
BBB / moped / ELBO,0.08743110299110413,0.011152289807796478,0.20473872125148773,0.039786018431186676,0.014016276225447655,0.00622847443446517,-0.007787801790982485
BBB / moped / AvUC,0.06594346463680267,0.005540261045098305,0.1395171582698822,0.023392677307128906,0.03188139200210571,0.004736137110739946,-0.027145255357027054
