Model Type,Model_Type,Init,Epochs,Best_Val_MSE,Fit_Time (s),RMSE,MAE,NLL,Calibration_MAE,Calibration_MSE,Calibration_Corr,Max_Calibration_Gap,Coverage_68,Coverage_95,Mean_Epistemic_Std,Mean_Aleatoric_Std,Mean_Total_Std
Flipout / scratch,Flipout,scratch,291,0.354798287153244,188.16800355911255,0.7144802635399545,0.6104551367263775,1.8043322213669017,0.28619999999999995,0.09854842105263158,0.9474133236398247,0.4398947368421052,0.276,0.624,0.1807946742773056,0.3,0.3540957656675643
Flipout / moped,Flipout,MOPED,140,0.22166648507118225,77.00936818122864,0.6144094340485852,0.5157085230546072,1.5596275153816268,0.29159999999999997,0.10514698947368421,0.871521474100695,0.47505263157894745,1.0,1.0,1.787161934375763,0.3,1.8128540360071261
BBB / scratch,Reparameterization,scratch,1000,0.3438774049282074,441.64198565483093,0.6773237188297405,0.5829012804764788,1.6912307562209146,0.2826,0.0934445894736842,0.9578463620256251,0.4278947368421052,0.288,0.644,0.17030057346820832,0.3,0.3474698058231622
BBB / moped,Reparameterization,MOPED,85,0.197196826338768,28.355335235595703,0.5988063151937654,0.49497757087484934,1.6532136745747528,0.3312,0.13701225263157896,0.8135495428233398,0.5624210526315789,1.0,1.0,2.001593065738678,0.3,2.024461720264228
