Variant,RMSE_mean,RMSE_std,NLL_mean,NLL_std,Calibration_MAE_mean,Calibration_MAE_std,Fit_Time (s)_mean,Fit_Time (s)_std,Inf_Time (s)_mean,Inf_Time (s)_std
Flipout / scratch,0.591520254747644,0.08416600556170327,0.9175298362576306,0.15655569544231043,0.0981873684210526,0.035233426209179165,160.2582025527954,97.57219759899887,0.020963764190673827,0.029473370359511603
Flipout / moped,0.6825259821719915,0.10740863392932125,1.4953176423720902,0.10926503257636286,0.25104000000000004,0.024924012518051736,33.43432698249817,27.63591379573153,0.022415542602539064,0.0311217552087034
BBB / scratch,0.6958526484349761,0.024469735957017975,1.0941796263671129,0.058229010425101556,0.10904421052631577,0.03412564134532736,120.22456021308899,96.29237177272752,0.16628193855285645,0.2219119069794931
BBB / moped,0.630994393361512,0.06816505979792671,1.5663972009132816,0.08793264866127887,0.29812,0.01927302778496416,19.74846682548523,17.33168895211577,0.22413744926452636,0.336238466846719
