Variant,Accuracy_mean,Accuracy_std,NLL_mean,NLL_std,Brier_Score_mean,Brier_Score_std,ECE_mean,ECE_std,Fit_Time (s)_mean,Fit_Time (s)_std,Inf_Time (s)_mean,Inf_Time (s)_std
Flipout / scratch / ELBO,0.9135000000000002,0.010899541274750969,0.22038863003253936,0.01842656386955692,0.06440310031175614,0.0063541799678064614,0.018985884201526627,0.003769608439340024,39.79291028976441,17.846353958873117,0.04166421890258789,0.07992018117117745
Flipout / scratch / AvUC,0.9021000000000001,0.01272556482047066,0.2520220160484314,0.01653435712676232,0.07401873171329498,0.006145578893281513,0.03620596953034402,0.02268817049798133,662.9466726303101,478.18004451033124,0.001506805419921875,0.0001291754413854275
Flipout / moped / ELBO,0.9132,0.006896375859826668,0.21343788504600525,0.01323600576180792,0.0628208041191101,0.004605570126437479,0.01712635923027992,0.005926449486747297,33.50349831581116,11.148473286755198,0.0015644073486328126,0.00016461801360352776
Flipout / moped / AvUC,0.9132,0.007560423268574306,0.21953558623790742,0.013238002806405703,0.0646759606897831,0.004338333035446639,0.015267112725973132,0.003298538653375933,587.6289742946625,395.8902497870025,0.00147247314453125,7.869301279528607e-05
BBB / scratch / ELBO,0.9106,0.009107140056021978,0.2224539965391159,0.01858987227604972,0.06516866236925126,0.006369482650819339,0.019711711800098418,0.0030718541188724355,29.945700788497923,14.71547960395188,0.027207231521606444,0.00482831230547977
BBB / scratch / AvUC,0.9099,0.00865101150155286,0.23537263870239258,0.01767884673250191,0.06785866990685463,0.0055881983088636265,0.03570376662015915,0.002671438419436843,672.1362018108368,241.43496671535823,0.02493624687194824,0.0002625949373680583
BBB / moped / ELBO,0.9144,0.006568104749469207,0.21441955864429474,0.014270269947607377,0.06277232021093368,0.005272555982417978,0.015499170362949361,0.004327518822282335,26.223447418212892,15.142181753426225,0.024774980545043946,0.00038317725563388185
BBB / moped / AvUC,0.9101000000000001,0.006077828559609084,0.21962911784648895,0.01258970615094725,0.06514908969402314,0.004217838685870909,0.014547070854902278,0.002910551818017531,547.6752917289734,353.48750993950335,0.024859285354614256,0.0003339350776233993
