Variant,ID NLL,OOD NLL,ID RMSE,OOD RMSE,ID Coverage_95,OOD Coverage_95,ID Epistemic,OOD Epistemic,Epistemic Ratio (OOD/ID)
Diag / all / marglik,0.31589746707572236,9.143476269580054,0.30059053731208873,1.8736528926794729,0.992,0.248,0.27543386816978455,0.3171512484550476,1.1514606475830078
Diag / all / gridsearch,0.2872306838080208,11.127276495089525,0.30059053731208873,1.8736528926794729,0.988,0.188,0.2362845093011856,0.222453311085701,0.9414637684822083
Kron / all / marglik,0.2341173052510237,4.378411043512948,0.30059053731208873,1.8736528926794729,0.972,0.584,0.12639643251895905,1.4094945192337036,11.151378631591797
Kron / all / gridsearch,0.22791292450606795,12.327855854487664,0.30059053731208873,1.8736528926794729,0.968,0.224,0.09264065325260162,0.21604575216770172,2.3320837020874023
Full / all / marglik,0.22852880149579263,2.328039482232125,0.30059053731208873,1.8736528926794729,0.968,0.932,0.08838266134262085,3.0945253372192383,35.01280975341797
Full / all / gridsearch,0.22360091038869956,14.928293936875683,0.30059053731208873,1.8736528926794729,0.968,0.164,0.04722535237669945,0.10067897289991379,2.1318840980529785
Full / last layer / marglik,0.2250627371013325,7.8982666666534715,0.30059053731208873,1.8736528926794729,0.968,0.576,0.06798640638589859,0.8835704922676086,12.996281623840332
Full / last layer / gridsearch,0.22316601324555654,15.644790854020794,0.30059053731208873,1.8736528926794729,0.968,0.16,0.04133416712284088,0.0794958770275116,1.923248529434204
Kron / last layer / marglik,0.22557229885478045,8.182971297567622,0.30059053731208873,1.8736528926794729,0.968,0.444,0.07298939675092697,0.6465724110603333,8.858443260192871
Kron / last layer / gridsearch,0.2241725094901769,13.178947830934238,0.30059053731208873,1.8736528926794729,0.968,0.224,0.06197212263941765,0.19086618721485138,3.079871654510498
Kron / all / adam loop,0.23324100907462492,4.4003215153606305,0.30059053731208873,1.8736528926794729,0.968,0.584,0.12596043944358826,1.4034881591796875,11.142292976379395
Kron / last layer / adam loop,0.2249570111223257,8.223378425251319,0.30059053731208873,1.8736528926794729,0.968,0.444,0.07276095449924469,0.6460901498794556,8.879627227783203
