Variant,RMSE_mean,RMSE_std,NLL_mean,NLL_std,Calibration_Error_mean,Calibration_Error_std,Fit_Time (s)_mean,Fit_Time (s)_std,Tune_Time (s)_mean,Tune_Time (s)_std,Inf_Time (s)_mean,Inf_Time (s)_std
Diag / all / marglik,0.3172993785463673,0.008864945489805306,0.323496419851087,0.01102909863897914,0.6270000000000001,0.27192310449647844,0.1733954906463623,0.04688134593100154,0.0576204776763916,0.01565701366194158,0.0011671066284179687,0.0004565781251721923
Diag / all / gridsearch,0.3172993785463673,0.008864945489805306,0.31162747483053865,0.025998369027601068,0.5439326315789476,0.31281149659711055,0.1765979766845703,0.009348696483377092,10.883035516738891,1.3645108941515012,0.0009716033935546875,0.0001021910424628506
Kron / all / marglik,0.3172993785463673,0.008864945489805306,0.27633206995784004,0.024435079203964122,0.27488842105263145,0.13836372823016393,0.5080530166625976,0.06521023291328537,0.07638449668884277,0.028745151430019607,0.0012376785278320312,0.00011265820535577053
Kron / all / gridsearch,0.3172993785463673,0.008864945489805306,0.2737862606734246,0.024898479669503048,0.25016421052631566,0.11608723925568018,0.5084274291992188,0.058567116670611326,14.552495050430299,2.2504321175716333,0.0011209487915039063,6.471447979914795e-05
Full / all / marglik,0.3172993785463673,0.008864945489805306,0.27633403534528267,0.028824447609316795,0.2724757894736841,0.1455461246097595,5.398727321624756,2.4104913400022125,12.853595781326295,2.4716671623603954,0.0011684894561767578,0.00019867264406991253
Full / all / gridsearch,0.3172993785463673,0.008864945489805306,0.2758283823928739,0.0314232059860383,0.27354736842105243,0.153638284558226,5.549054145812988,2.314996966795853,19.441553020477294,2.685420351870315,0.0011310577392578125,0.00030518483357116734
Full / last layer / marglik,0.3172993785463673,0.008864945489805306,0.2781918105611039,0.03191549823316287,0.2832189473684209,0.15392194595668085,0.12601213455200194,0.04568274459995714,4.289167213439941,0.8991213566293609,0.00031795501708984373,3.7316765405177566e-05
Full / last layer / gridsearch,0.3172993785463673,0.008864945489805306,0.27618509114510265,0.031587708289192815,0.2777494736842103,0.15544966687598893,0.11864557266235351,0.032022999692408835,9.09835343360901,1.8993098114245663,0.00027790069580078123,8.908818953723023e-06
Kron / last layer / marglik,0.3172993785463673,0.008864945489805306,0.27801615872639873,0.0314343724884801,0.27986736842105253,0.15176277268621302,0.23218412399291993,0.0385174885216068,0.06849379539489746,0.028135493499638984,0.00035982131958007814,1.186107870068087e-05
Kron / last layer / gridsearch,0.3172993785463673,0.008864945489805306,0.27282329031447816,0.028528308012832352,0.258976842105263,0.1388885445499455,0.228961181640625,0.05122503376098268,2.0674978733062743,0.4177792442862394,0.00035338401794433595,5.8583088490964225e-06
Kron / all / adam loop,0.3172993785463673,0.008864945489805306,0.2762660269521467,0.024959741089000453,0.2761747368421052,0.1399020489317109,0.469666051864624,0.08959740622397008,0.8757335186004639,0.31237647848108346,0.0012441635131835937,0.00022798125594324442
Kron / last layer / adam loop,0.3172993785463673,0.008864945489805306,0.2782921858645869,0.032043898155834534,0.28421052631578936,0.15493083421508344,0.21564197540283203,0.05172935163881551,0.5942852973937989,0.11709759345861306,0.0003506183624267578,6.337809834935202e-06
