Model Type,Accuracy,NLL,Brier Score,ECE,ROC-AUC,Precision,Recall,F1 Score,Mean Confidence,Median Confidence,Predictive Std (mean),Predictive Std (median),Predictive Std (std),CI95 Width (mean),Aleatoric Uncertainty,Epistemic Uncertainty,Total Uncertainty,Inference Time (s)
Bayesian-Torch (Flipout),0.866,0.30193275213241577,0.18685466051101685,0.019890588194131864,0.9450257093448793,0.870236869207003,0.85612968591692,0.8631256384065373,0.8693826794624329,0.9296789765357971,0.016417840495705605,0.012767345644533634,0.0120161734521389,0.05176890805214643,0.3132866621017456,0.0014643669128417969,0.3147510290145874,0.012426614761352539
Bayesian-Torch (BBB),0.868,0.3042426109313965,0.1891230195760727,0.01810736021399496,0.9440455436968848,0.8677517802644964,0.8642350557244174,0.8659898477157361,0.879104495048523,0.9415108561515808,0.016057392582297325,0.011501860804855824,0.012795555405318737,0.05054802526310086,0.29087212681770325,0.001496732234954834,0.2923688590526581,0.0072422027587890625
