,Mean_Train_Time (s),Std_Train_Time (s),Mean_Inf_Time_ID (s),Std_Inf_Time_ID (s),Mean_Inf_Time_OOD (s),Std_Inf_Time_OOD (s),ID_RMSE_mean,ID_RMSE_std,OOD_RMSE_mean,OOD_RMSE_std,ID_NLL_mean,ID_Cal_Error_mean,OOD_NLL_mean,OOD_Cal_Error_mean
MAP,0.36370043754577636,0.3725039790892297,2.177711248397827,0.16602314421320935,3.646945762634277,0.5954710658650344,0.4494323432445526,0.037106536059143116,0.515915697813034,0.053895094095586356,,,,
laplace-torch,43.794177007675174,4.749389993991859,2.3418338775634764,0.42347975138217603,6.274742174148559,5.131581440974133,0.4494323477282351,0.03710654653401818,0.5159156855547042,0.053895097580587074,0.6205150217384986,3.5857642105263148,0.8192769007465127,35.31304924227192
bayesian-torch,959.7993561267853,111.02667238050223,17.02409420013428,0.15760408066856219,61.23702645301819,0.4716970297396041,0.4073009437227858,0.02003831938695084,0.5160456993226241,0.03475650993921656,0.5233504702729835,1.3470931578947374,0.8342468632338168,26.09503006270599
