,Mean_Train_Time (s),Mean_Inf_Time_ID (s),Mean_Inf_Time_OOD (s),ID_RMSE_Mean,ID_RMSE_Std,ID_NLL_Mean,ID_CalErr_Mean,OOD_RMSE_Mean,OOD_RMSE_Std,OOD_NLL_Mean,OOD_CalErr_Mean
MAP,239.96812038421632,3.29990291595459,7.845040655136108,,,,,,,,
Laplace,27.882424211502077,2.121094989776611,3.2192331314086915,0.42645907402038574,0.00839151069521904,0.5668917536735535,0.041701052631578965,0.5374383926391602,0.01104209665209055,0.864231014251709,0.06591218773656318
Bayesian-Torch,333.7561075210571,114.52975311279297,196.1123875617981,0.41929578826557334,0.009045563475673231,37.125283522773245,0.40413,0.5544334429423816,0.043157190545808785,56.82385055328666,0.4322306333585667
