,Train_Time,Inference_Time,RMSE,NLL,Calibration Error,Avg Epistemic std,Hessian_Fit_Time,MargLik_Opt_Time
MAP,1.2483277320861816,0.00048351287841796875,1.4153342467027024,,,,,
Laplace,1.5855474472045898,0.05144453048706055,1.4153342467027024,1.5037275781417647,0.05817368421052631,1.7063484191894531,0.05613994598388672,1.5294075012207031
Bayesian-Torch,1.9429056644439697,0.050736188888549805,1.0941806151611762,1.485323035344873,0.018099999999999998,0.9714158177375793,,
