Model Type,Fit_Time (s),Inf_Time (s),Accuracy,Tune_Time (s),Prior_Precision
MAP Baseline,34.95554757118225,0.02864241600036621,0.9225,,
Laplace_Diag_GridSearch,0.23546075820922852,0.04047226905822754,0.9225,4.090405702590942,10000.0
Laplace_Diag_MargLik,0.20398592948913574,0.037177085876464844,0.9225,0.05788993835449219,8.584383964538574
Laplace_Full_MargLik,1294.073168039322,0.14530301094055176,0.9225,1.9194748401641846,0.5160818696022034
Laplace_Kron_MargLik,0.5436522960662842,0.05347180366516113,0.9225,0.09998965263366699,1.4091988801956177
