Split,Method,RMSE_mean,RMSE_std,NLL_mean,NLL_std,Calibration_Error_mean,Calibration_Error_std
ID,MAP,0.4494323432445526,0.037106536059143116,,,,
ID,laplace-torch,0.4494323477282351,0.03710654653401818,0.6205150217384986,0.08322825920519196,3.5857642105263148,1.5984594046640659
ID,bayesian-torch,0.4073009437227858,0.02003831938695084,0.5233504702729835,0.05256040815436998,1.3470931578947374,0.4185381138090097
OOD,MAP,0.515915697813034,0.053895094095586356,,,,
OOD,laplace-torch,0.5159156855547042,0.053895097580587074,0.8192769007465127,0.14940455178590753,35.31304924227192,27.289566119747647
OOD,bayesian-torch,0.5160456993226241,0.03475650993921656,0.8342468632338168,0.10711631951768966,26.09503006270599,19.334526781689814
